Excelsior203
 1.0000007     0.0000005
 0.9844117     0.0026031
 0.9662742     0.0056391
 0.9439031     0.0096696
 0.9159998     0.0150343
 0.8853206     0.0212458
 0.8549165     0.0276623
 0.8242884     0.0343101
 0.7935645     0.0410720
 0.7635194     0.0476735
 0.7340681     0.0540753
 0.7049550     0.0602515
 0.6759390     0.0661779
 0.6468913     0.0718067
 0.6177278     0.0770680
 0.5883760     0.0818398
 0.5588114     0.0860929
 0.5290409     0.0898107
 0.4990976     0.0929767
 0.4690351     0.0955721
 0.4389241     0.0975755
 0.4088299     0.0988999
 0.3787945     0.0996324
 0.3488571     0.0996941
 0.3190756     0.0990879
 0.2895065     0.0977888
 0.2602098     0.0957606
 0.2312723     0.0929640
 0.2028230     0.0893423
 0.1750031     0.0848514
 0.1479830     0.0795394
 0.1220031     0.0734639
 0.0974205     0.0665255
 0.0747080     0.0586278
 0.0543866     0.0499491
 0.0369107     0.0408688
 0.0228273     0.0318080
 0.0125551     0.0232039
 0.0060426     0.0158274
 0.0023452     0.0096501
 0.0006021     0.0044891
 0.0000019    -0.0003533
 0.0005202    -0.0038003
 0.0019430    -0.0067720
 0.0041679    -0.0094317
 0.0075619    -0.0120038
 0.0132538    -0.0147307
 0.0234481    -0.0177648
 0.0405786    -0.0208516
 0.0646801    -0.0230691
 0.0931680    -0.0243671
 0.1237640    -0.0248224
 0.1553460    -0.0246165
 0.1874298    -0.0240921
 0.2195140    -0.0233084
 0.2514464    -0.0223176
 0.2832894    -0.0212079
 0.3150608    -0.0199740
 0.3467703    -0.0186662
 0.3784199    -0.0173070
 0.4099970    -0.0158780
 0.4415094    -0.0144770
 0.4729473    -0.0130398
 0.5043089    -0.0116164
 0.5356198    -0.0102273
 0.5669197    -0.0088849
 0.5982151    -0.0075803
 0.6294977    -0.0062572
 0.6607845    -0.0050115
 0.6920927    -0.0038445
 0.7234187    -0.0027526
 0.7547298    -0.0017418
 0.7860085    -0.0008252
 0.8172701    -0.0000225
 0.8485506     0.0006345
 0.8799786     0.0011168
 0.9117815     0.0013579
 0.9412280     0.0013213
 0.9650925     0.0010459
 0.9840188     0.0005992
 1.0000007     0.0000005
